,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Tot Deaths/1M pop
1,China,"81,340",,"3,292 ",,"74,588","3,460","1,034",57,2
2,USA,"102,396","+16,961","1,607 ",+312,"2,471","98,318","2,463",309,5
3,Italy,"86,498","+5,909","9,134 ",+919,"10,950","66,414","3,732","1,431",151
4,Spain,"65,719","+7,933","5,138 ",+773,"9,357","51,224","4,165","1,406",110
5,Germany,"50,871","+6,933",351 ,+84,"6,658","43,862","1,581",607,4
6,France,"32,964","+3,809","1,995 ",+299,"5,700","25,269","3,787",505,31
7,Iran,"32,332","+2,926","2,378 ",+144,"11,133","18,821","2,893",385,28
8,UK,"14,543","+2,885",759 ,+181,135,"13,649",163,214,11
9,Switzerland,"12,928","+1,117",231 ,+39,"1,530","11,167",203,"1,494",27
10,S. Korea,"9,332",+91,139 ,+8,"4,528","4,665",59,182,3
11,Netherlands,"8,603","+1,172",546 ,+112,3,"8,054",761,502,32
12,Austria,"7,697",+788,58 ,+9,225,"7,414",128,855,6
13,Belgium,"7,284","+1,049",289 ,+69,858,"6,137",690,628,25
14,Turkey,"5,698","+2,069",92 ,+17,42,"5,564",241,68,1
15,Canada,"4,757",+714,55 ,+16,354,"4,348",120,126,1
16,Portugal,"4,268",+724,76 ,+16,43,"4,149",71,419,7
17,Norway,"3,755",+383,19 ,+5,6,"3,730",70,693,4
18,Brazil,"3,417",+432,92 ,+15,6,"3,319",296,16,0.4
19,Australia,"3,180",+130,13 ,,170,"2,997",23,125,0.5
20,Sweden,"3,069",+229,105 ,+28,16,"2,948",214,304,10
21,Israel,"3,035",+342,12 ,+4,79,"2,944",49,351,1
22,Czechia,"2,279",+354,9 ,,11,"2,259",34,213,0.8
23,Malaysia,"2,161",+130,26 ,+3,259,"1,876",54,67,0.8
24,Ireland,"2,121",+302,22 ,+3,5,"2,094",59,430,4
25,Denmark,"2,046",+169,52 ,+11,1,"1,993",109,353,9
26,Ecuador,"1,627",+224,41 ,+7,3,"1,583",58,92,2
27,Chile,"1,610",+304,5 ,+1,43,"1,562",7,84,0.3
28,Luxembourg,"1,605",+152,15 ,+6,40,"1,550",25,"2,564",24
29,Japan,"1,468",+81,49 ,+2,372,"1,047",56,12,0.4
30,Poland,"1,389",+168,16 ,,7,"1,366",3,37,0.4
31,Pakistan,"1,373",+172,11 ,+2,23,"1,339",7,6,0.05
32,Romania,"1,292",+263,26 ,+3,115,"1,151",32,67,1
33,South Africa,"1,170",+243,1 ,+1,31,"1,138",7,20,0.02
34,Thailand,"1,136",+91,5 ,+1,97,"1,034",11,16,0.07
35,Saudi Arabia,"1,104",+92,3 ,,35,"1,066",6,32,0.09
36,Indonesia,"1,046",+153,87 ,+9,46,913,,4,0.3
37,Finland,"1,041",+83,7 ,+2,10,"1,024",32,188,1
38,Russia,"1,036",+196,4 ,+1,45,987,8,7,0.03
39,Greece,966,+74,28 ,+1,52,886,66,93,3
40,Iceland,890,+88,2 ,,97,791,18,"2,608",6
41,India,887,+160,20 ,,73,794,,0.6,0.01
42,Philippines,803,+96,54 ,+9,31,718,1,7,0.5
43,Singapore,732,+49,2 ,,183,547,17,125,0.3
44,Diamond Princess,712,,10 ,,597,105,15,,
45,Panama,674,,9 ,,2,663,20,156,2
46,Peru,635,+55,11 ,+2,16,608,21,19,0.3
47,Slovenia,632,+70,9 ,+3,10,613,14,304,4
48,Argentina,589,,13 ,+1,72,504,,13,0.3
49,Croatia,586,+91,3 ,,37,546,14,143,0.7
50,Mexico,585,+110,8 ,+2,4,573,1,5,0.06
51,Dominican Republic,581,+93,20 ,+10,3,558,,54,2
52,Estonia,575,+37,1 ,,11,563,7,433,0.8
53,Qatar,562,+13, ,,43,519,6,195,
54,Colombia,539,+48,6 ,,10,523,,11,0.1
55,Egypt,536,+41,30 ,+6,116,390,,5,0.3
56,Serbia,528,+71,8 ,+1,42,478,25,60,0.9
57,Hong Kong,518,+64,4 ,,111,403,5,69,0.5
58,Bahrain,466,+8,4 ,,227,235,1,274,2
59,Iraq,458,+76,40 ,+4,122,296,,11,1.0
60,Algeria,409,+42,26 ,+1,29,354,,9,0.6
61,UAE,405,+72,2 ,,52,351,2,41,0.2
62,Lebanon,391,+23,8 ,+2,27,356,3,57,1
63,New Zealand,368,, ,,37,331,1,76,
64,Lithuania,358,+59,5 ,+1,1,352,2,132,2
65,Morocco,345,+70,23 ,+12,11,311,1,9,0.6
66,Armenia,329,+39,1 ,,28,300,6,111,0.3
67,Ukraine,310,+114,5 ,,5,300,,7,0.1
